epoch,f1_score,recall,precision,accuracy
1,0.600298656047785,0.6122448979591837,0.6327690166975881,0.6122448979591837
2,0.6089932828477304,0.6122448979591837,0.6187543983110485,0.6122448979591837
3,0.6707208135779565,0.673469387755102,0.6771287825475018,0.673469387755102
4,0.6447477578964833,0.6530612244897959,0.6646158463385353,0.6530612244897959
5,0.6447477578964833,0.6530612244897959,0.6646158463385353,0.6530612244897959
6,0.6447477578964833,0.6530612244897959,0.6646158463385353,0.6530612244897959
7,0.6676384839650145,0.673469387755102,0.6829054202326091,0.673469387755102
8,0.6676384839650145,0.673469387755102,0.6829054202326091,0.673469387755102
9,0.6676384839650145,0.673469387755102,0.6829054202326091,0.673469387755102
10,0.7118807118807118,0.7142857142857143,0.7192118226600985,0.7142857142857143
11,0.7135690396559962,0.7142857142857143,0.7152477152477152,0.7142857142857143
12,0.7135690396559962,0.7142857142857143,0.7152477152477152,0.7142857142857143
13,0.7344725124092192,0.7346938775510204,0.7348645143676199,0.7346938775510204
14,0.7344725124092192,0.7346938775510204,0.7348645143676199,0.7346938775510204
15,0.7551020408163265,0.7551020408163265,0.7551020408163265,0.7551020408163265
16,0.7551020408163265,0.7551020408163265,0.7551020408163265,0.7551020408163265
17,0.7959183673469388,0.7959183673469388,0.7959183673469388,0.7959183673469388
18,0.816173277821767,0.8163265306122449,0.8167019316087638,0.8163265306122449
19,0.8564240790655884,0.8571428571428571,0.8622448979591837,0.8571428571428571
20,0.8974457707611346,0.8979591836734694,0.9037900874635567,0.8979591836734694
21,0.8974457707611346,0.8979591836734694,0.9037900874635567,0.8979591836734694
22,0.8772438741382841,0.8775510204081632,0.8798873084587371,0.8775510204081632
23,0.8775510204081632,0.8775510204081632,0.8775510204081632,0.8775510204081632
24,0.8571428571428571,0.8571428571428571,0.8578571428571428,0.8571428571428571
25,0.9387244259405889,0.9387755102040817,0.93945805747048,0.9387755102040817
26,0.9387244259405889,0.9387755102040817,0.93945805747048,0.9387755102040817
27,0.979574808646863,0.9795918367346939,0.9803767660910518,0.9795918367346939
28,0.959081291379428,0.9591836734693877,0.962207105064248,0.9591836734693877
29,1.0,1.0,1.0,1.0
30,1.0,1.0,1.0,1.0
31,1.0,1.0,1.0,1.0
32,1.0,1.0,1.0,1.0
33,1.0,1.0,1.0,1.0
34,0.979574808646863,0.9795918367346939,0.9803767660910518,0.9795918367346939
35,0.9795918367346939,0.9795918367346939,0.9804081632653061,0.9795918367346939
36,0.979574808646863,0.9795918367346939,0.9803767660910518,0.9795918367346939
37,0.979574808646863,0.9795918367346939,0.9803767660910518,0.9795918367346939
38,0.979574808646863,0.9795918367346939,0.9803767660910518,0.9795918367346939
39,0.9591836734693877,0.9591836734693877,0.9591836734693877,0.9591836734693877
40,0.918299319727891,0.9183673469387755,0.9213023001842878,0.9183673469387755
41,0.9591836734693877,0.9591836734693877,0.9591836734693877,0.9591836734693877
42,0.9591836734693877,0.9591836734693877,0.9591836734693877,0.9591836734693877
43,0.9591836734693877,0.9591836734693877,0.9591836734693877,0.9591836734693877
44,0.9591836734693877,0.9591836734693877,0.9591836734693877,0.9591836734693877
45,0.9591836734693877,0.9591836734693877,0.9591836734693877,0.9591836734693877
46,0.9591836734693877,0.9591836734693877,0.9591836734693877,0.9591836734693877
47,0.9591836734693877,0.9591836734693877,0.9591836734693877,0.9591836734693877
48,0.9591836734693877,0.9591836734693877,0.9591836734693877,0.9591836734693877
49,0.9795918367346939,0.9795918367346939,0.9804081632653061,0.9795918367346939
50,0.9795918367346939,0.9795918367346939,0.9804081632653061,0.9795918367346939
